Id,SalePrice
1461,127970.0
1462,143985.0
1463,185000.0
1464,178940.0
1465,208500.0
1466,188000.0
1467,162050.0
1468,177600.0
1469,185430.5
1470,127500.0
1471,198920.0
1472,84010.0
1473,94270.0
1474,149729.0
1475,147727.6
1476,382757.6
1477,281342.0
1478,314312.5
1479,282849.0
1480,536149.6
1481,291391.3
1482,214050.0
1483,171079.6
1484,181639.9
1485,178910.0
1486,182745.0
1487,314167.0
1488,252200.0
1489,218604.0
1490,190120.0
1491,190085.0
1492,95550.0
1493,165640.0
1494,317175.0
1495,313028.5
1496,239153.0
1497,192900.2
1498,155075.6
1499,155075.6
1500,143951.7
1501,159150.0
1502,185500.0
1503,275340.0
1504,230550.0
1505,229356.0
1506,160870.0
1507,210870.0
1508,187935.0
1509,164370.0
1510,151030.0
1511,157845.0
1512,147523.7
1513,140161.4
1514,173680.0
1515,187980.0
1516,164136.4
1517,155830.0
1518,138220.0
1519,230680.8
1520,135690.0
1521,144063.7
1522,159500.0
1523,115440.0
1524,126752.5
1525,122640.0
1526,122450.0
1527,102317.6
1528,132165.0
1529,142890.0
1530,170900.0
1531,125390.0
1532,96500.0
1533,138910.0
1534,114200.0
1535,161070.0
1536,116717.6
1537,73130.0
1538,177200.0
1539,254140.0
1540,117000.0
1541,146093.4
1542,152590.0
1543,213960.0
1544,76349.3
1545,115860.0
1546,120820.0
1547,143200.0
1548,142293.4
1549,107930.0
1550,146940.0
1551,115917.5
1552,161030.0
1553,149936.0
1554,104720.0
1555,186090.0
1556,110000.0
1557,110950.0
1558,91270.0
1559,127330.0
1560,148990.0
1561,159822.8
1562,122090.0
1563,126950.0
1564,154842.4
1565,151830.0
1566,260226.4
1567,71870.0
1568,202535.0
1569,162805.0
1570,130742.5
1571,139410.0
1572,148152.5
1573,239381.8
1574,121200.0
1575,240254.8
1576,190715.0
1577,204313.0
1578,139365.0
1579,139405.0
1580,194940.0
1581,132780.0
1582,130520.0
1583,330236.6
1584,246362.5
1585,140900.0
1586,68121.1
1587,108020.0
1588,155330.0
1589,94029.3
1590,130400.0
1591,100055.0
1592,118383.4
1593,114450.0
1594,141581.6
1595,145733.4
1596,226378.0
1597,186585.0
1598,171537.0
1599,202600.0
1600,205750.0
1601,86971.1
1602,121890.0
1603,94307.6
1604,312140.0
1605,246920.0
1606,164615.0
1607,140000.0
1608,213046.0
1609,190026.0
1610,152828.5
1611,156345.0
1612,152100.0
1613,160015.0
1614,127553.3
1615,98390.0
1616,81689.3
1617,99470.0
1618,130880.0
1619,134030.0
1620,170078.7
1621,142625.0
1622,154130.0
1623,284540.0
1624,202940.0
1625,133350.0
1626,168535.0
1627,178650.0
1628,289596.3
1629,176590.0
1630,355717.9
1631,217740.0
1632,242940.0
1633,175990.0
1634,180948.5
1635,183150.0
1636,161610.0
1637,187890.0
1638,216547.8
1639,172750.0
1640,255441.9
1641,156710.0
1642,226175.0
1643,228400.0
1644,224790.0
1645,184400.0
1646,155400.0
1647,164233.5
1648,144630.0
1649,143510.0
1650,121065.0
1651,122190.0
1652,93690.0
1653,96130.0
1654,164700.0
1655,156570.0
1656,150950.0
1657,164690.0
1658,160228.5
1659,153830.0
1660,145635.0
1661,442828.6
1662,371602.4
1663,378289.7
1664,455857.8
1665,324347.2
1666,355620.0
1667,330485.4
1668,318416.5
1669,299092.6
1670,349618.3
1671,268836.8
1672,484952.0
1673,322625.0
1674,267639.3
1675,172420.0
1676,178513.2
1677,205749.5
1678,453607.0
1679,352967.6
1680,312379.0
1681,244201.2
1682,292660.0
1683,197290.0
1684,171623.0
1685,171376.5
1686,178269.5
1687,175396.5
1688,179950.0
1689,186235.0
1690,187535.0
1691,181351.5
1692,260993.5
1693,177910.0
1694,180470.0
1695,173250.0
1696,279125.0
1697,174600.0
1698,361109.5
1699,339590.0
1700,236750.0
1701,253779.0
1702,262738.4
1703,260767.7
1704,298039.1
1705,223442.8
1706,361542.9
1707,222810.0
1708,232147.8
1709,282322.3
1710,235505.0
1711,267996.7
1712,269781.8
1713,265112.3
1714,232340.0
1715,209770.0
1716,179103.0
1717,165941.5
1718,123450.0
1719,199087.0
1720,269397.7
1721,173315.0
1722,104750.0
1723,159743.2
1724,218190.1
1725,233050.0
1726,183565.0
1727,158470.0
1728,196750.0
1729,160998.2
1730,175750.0
1731,130675.0
1732,130710.0
1733,128880.0
1734,127025.0
1735,130950.0
1736,113148.3
1737,368235.6
1738,208890.0
1739,281436.0
1740,194839.0
1741,175330.0
1742,161850.0
1743,176830.0
1744,324807.7
1745,256200.0
